ticker,date,entry,d10,d20,adr,stop_pct,rr10sma,gain10sma_pct,mae10sma_pct,src,split,d10_adr,d20_adr
LRCX,2021-03-26,55.799,2.418065158886007,2.2383826894472048,4.970543945615226,1.455223211885518,10.15,14.77,-1.6,db,10.0,0.4864789820476504,0.4503295240799144
ZS,2020-09-21,132.0,0.5392555654870179,-3.7925422597270164,5.5038534687016405,1.8484848484848468,7.7,14.24,-4.16,db,1.0,0.09797782018608653,-0.6890703543060854
FSLY,2020-12-06,85.4,2.4656561214845496,7.449766996961649,6.940576474998005,3.5480093676815,3.99,14.16,-1.41,db,1.0,0.35525235264917365,1.0733642981671476
PLTR,2021-01-22,27.18,5.631339065475238,6.12212950856168,7.052042629306151,4.267844002943341,3.31,14.13,-5.0,db,1.0,0.7985401339000845,0.8681356353576148
BLDP,2020-11-16,16.75,5.09474142142492,6.14365842793807,5.3167997205049184,3.22388059701492,4.24,13.67,-5.01,db,1.0,0.9582345939750933,1.1555181219718067
NTLA,2021-05-26,70.0,7.186058485224955,1.9063767706676504,8.566017798441477,7.099999999999998,1.86,13.2,-2.79,db,1.0,0.8389030532404923,0.22255111015698584
BLDP,2020-12-17,19.98,2.989690721649496,2.401147159998329,7.034811891524365,1.601601601601603,7.97,12.76,-1.95,db,1.0,0.42498516914880347,0.3413235772361253
URNM,2021-10-12,39.15,0.9749300442061015,-3.713723651574774,5.635073226329492,0.17879948914431748,8.48,12.72,-1.94,db,2.0,0.17301106925297935,-0.6590373367683414
NVAX,2020-02-26,8.89,14.414416099574101,20.714238031957045,8.960700050527443,6.074240719910021,2.09,12.71,-6.41,db,1.0,1.6086261138409206,2.3116763104616775
SOXL,2021-03-31,36.74,4.283160439946543,7.871635374389485,11.1653553537345,1.0615133369624399,11.62,12.33,-1.06,db,1.0,0.38361165446596784,0.7050053603315584
CLF,2021-03-26,15.92,-1.1057277242062513,3.3061873270146425,7.272024999444894,2.889447236180899,4.15,12.0,-3.2,db,1.0,-0.15205224463483782,0.4546446591241117
WWR,2021-01-19,5.7,12.33740583652625,10.927312924214338,9.848463885143614,6.666666666666665,1.79,11.93,-12.98,db,1.0,1.2527238745462832,1.1095449048351758
XOP,2021-01-05,60.61,3.3894554044102243,1.477544233834771,3.8784299150160817,1.3529120607160539,8.71,11.78,-1.5,db,1.0,0.8739246237987441,0.38096453106298933
URA,2021-10-12,24.56,2.6584159675659524,-0.34894179124684843,4.780372326960864,1.791530944625398,6.43,11.52,-2.28,db,1.0,0.5561106511667991,-0.07299468898663992
BYND,2020-09-29,165.75,9.281870219348498,15.631332400148912,6.838026588288831,3.746606334841634,3.08,11.52,-3.98,db,1.0,1.3573901913814028,2.2859420328841606
GUSH,2022-02-28,30.2375,7.303181361675759,7.288903695943638,7.727292534797611,3.1831335262505243,3.57,11.37,-3.85,db,4.0,0.945115165342584,0.9432674721605508
AMAT,2021-03-26,121.4,3.474140176813445,4.741855245812032,4.533965559034142,1.474464579901158,7.6,11.2,-1.84,db,1.0,0.7662475886900058,1.0458516246034688
BILI,2021-02-02,129.88,4.025501709806489,9.405798866836257,7.0563254379969,4.2731752386818584,2.45,10.46,-6.36,db,1.0,0.5704813001013203,1.332959902357665
BNTX,2021-05-25,200.0,2.8870084201138235,6.071815098905953,8.62290282193591,2.879999999999995,3.57,10.29,-3.15,db,1.0,0.3348070226153456,0.7041497769706725
ARKK,2021-01-06,129.05,-0.15782943130853155,2.0033113304632755,3.408445642960843,1.9914761720263519,4.97,9.9,-2.48,db,1.0,-0.04630539777991839,0.5877492383076534
TNA,2021-05-26,90.0,5.3420093777899025,1.0923584960922827,5.798373135940325,1.300000000000002,7.58,9.86,-3.52,db,1.0,0.9212945170220725,0.188390514111875
MOS,2022-02-01,41.13,1.8044102436135745,1.5004192194317367,4.3085111273124514,1.920739119863844,4.9,9.41,-2.43,db,1.0,0.41880134234192484,0.34824540893495687
JMIA,2020-01-16,6.7,7.9078762278796955,11.38819644113398,6.037396485062394,5.373134328358214,1.75,9.4,-9.7,db,1.0,1.3098156212607877,1.8862760577859063
BYND,2020-06-08,139.8,5.908289014304158,4.711650235424925,7.229698435495517,2.639484978540771,3.52,9.29,-2.9,db,1.0,0.8172248216186087,0.6517077133248356
