ticker,date,as_of,src,rr10sma,gain10sma_pct,base_age,base_censored,base_bucket,1w,1m,3m,6m,12m,adr,qqq_1w,qqq_1m,qqq_3m,qqq_6m,qqq_12m,rel_1w,rel_1m,rel_3m,rel_6m,rel_12m
LABU,2020-06-18,2020-06-17,db,5.33,16.09,119,False,>60,-1.6212942328129865,2.9319390602934536,200.61159397290916,-18.33515190447096,5.529363853886071,9.716473146749914,-1.055966934907271,9.114520774562408,34.039295885266974,16.848216164005937,33.723659393853936,-0.5713606777417279,-5.666140189574365,124.2712422409488,-30.11031680543089,-21.08399939679163
CCJ,2021-10-12,2021-10-11,db,6.24,15.26,20,False,6-30,-1.4645293271739246,-11.87064428086222,17.457734464923092,25.10170013361046,122.61231259438227,5.2520668702346365,1.6363747468398637,-4.727288911244831,-0.615662518581539,6.553860759736008,26.11012317563983,-3.0509786301780695,-7.497797940233597,18.18535741296636,17.407008288228276,76.5221593545976
LRCX,2021-03-26,2021-03-25,db,10.15,14.77,27,False,6-30,1.643259613256931,0.3123305295298584,14.369064432209377,67.40951310020222,137.6775405365689,4.970543945615226,-0.10153364187061031,-0.35381032550186875,0.6987826595918012,14.99786496831641,71.60243735049625,1.746566607812139,0.6685060986353131,13.57541909799389,45.57619234611528,38.504757977950455
ZS,2020-09-21,2020-09-18,db,7.7,14.24,11,False,6-30,0.46693081985651474,0.8830232648538106,14.19726016673315,157.32511623535825,148.50818904244196,5.5038534687016405,-1.3237458894566068,-3.9932236562650547,9.43759970158402,51.70093176769291,39.73925575913269,1.8146987088779154,5.079065360616153,4.349200346250126,69.62658912959931,77.83706353123372
FSLY,2020-12-06,2020-12-04,db,3.99,14.16,37,False,31-60,5.183861161315084,24.83457650683498,9.577360572623217,87.10698314191963,333.17049899018605,6.940576474998005,2.177162207603689,6.486355657104559,7.7368183977011284,30.217963040230433,51.839396961738046,2.942633058845745,17.230583896413275,1.7083687845021345,43.687536476141545,185.28202011981153
PLTR,2021-01-22,2021-01-21,db,3.31,14.13,36,False,31-60,4.253609400871339,-8.874081607626616,182.39130522668475,,,7.052042629306151,3.8205907607779643,5.645475470811734,15.04680057626353,23.845275672116895,46.99841110350573,0.41708358324712425,-13.743662010825908,145.45776485065306,,
BLDP,2020-11-16,2020-11-13,db,4.24,13.67,90,False,>60,3.784478170707084,-13.568371267870315,9.546376463860984,73.79161735678983,161.38934015521164,5.3167997205049184,-1.249083668379225,-1.2189283599337797,6.771147878255612,32.86948370011016,45.19081968825256,5.09723051296338,-12.501831274856833,2.599230822890264,30.79874514229466,80.03158926745886
NTLA,2021-05-26,2021-05-25,db,1.86,13.2,89,False,>60,4.068711457819085,-11.789504724738098,20.167036874388344,92.58225427541815,229.01380805929773,8.566017798441477,3.336244247947384,-1.9003028089057517,6.572430101476745,12.72944899413304,45.68305210067736,0.7088192678206928,-10.080767014569458,12.75621355351193,70.83579844823069,125.84219874246303
BLDP,2020-12-17,2020-12-16,db,7.97,12.76,16,False,6-30,-0.20325668143827968,15.39364783441972,25.816782969930063,38.21252172360692,190.9629539207176,7.034811891524365,2.545588810799493,5.381988143255012,12.515944134237532,27.452085821587158,48.53987784639657,-2.680608229096526,9.500351879445446,11.821292473735024,8.442730326973757,95.88204739309072
URNM,2021-10-12,2021-10-11,db,8.48,12.72,18,False,6-30,-1.3348555789373218,-8.381530617188027,31.03157323384085,26.71021094846493,178.0052858402458,5.635073226329492,1.6363747468398637,-4.727288911244831,-0.615662518581539,6.553860759736008,26.11012317563983,-2.9233926664327115,-3.8355596940439107,31.84328290998504,18.916583636681782,120.44644699383413
NVAX,2020-02-26,2020-02-25,db,2.09,12.71,24,False,6-30,-0.500625319134762,1.923071985414171,110.31745686342443,27.403847770342992,-80.3217833935659,8.960700050527443,-8.247777650076571,-3.2914225162817723,5.688425733411173,18.785160263925228,25.141095447193763,8.443558240361536,5.391966914800128,98.99762476728517,7.2556937981715475,-84.27517632308262
SOXL,2021-03-31,2021-03-30,db,11.62,12.33,30,False,6-30,4.378478231180427,-8.20267110736852,15.48202374693155,110.55011937735455,426.6208212391207,11.1653553537345,-0.9142116956136981,0.18362793408339684,0.5581807216344048,13.477997329703229,64.463476442302,5.341522752521555,-8.370927679889718,14.84100340539114,85.54268169327517,220.20533229082795
CLF,2021-03-26,2021-03-25,db,4.15,12.0,50,False,31-60,-9.107252301532043,5.274116841981269,7.208483994783443,157.99319355517292,312.1221479637332,7.272024999444894,-0.10153364187061031,-0.35381032550186875,0.6987826595918012,14.99786496831641,71.60243735049625,-9.014871787297041,5.647910056437877,6.464528332181962,124.34607253469774,140.16101072153063
WWR,2021-01-19,2021-01-15,db,1.79,11.93,70,False,>60,-2.5341152347144846,6.382983040626322,-18.566773473532784,110.9704743222172,113.6752215127741,9.848463885143614,-2.247460782518762,1.6711068378773675,7.695703141881083,19.749021918491017,42.45148052957819,-0.29324501899431477,4.634429927336603,-24.385816563930142,76.17720039986418,49.998596517504936
XOP,2021-01-05,2021-01-04,db,8.71,11.78,15,False,6-30,1.9164492765394892,-2.7384788295774176,42.5505575235444,15.098636359870321,-36.70481709700659,3.8784299150160817,-1.0778278072416603,1.4239978401629605,12.963626616001012,22.871858033440052,45.238091009174084,3.026901873875709,-4.104035295769104,26.191555453614022,-6.326283168481284,-56.4197088634308
URA,2021-10-12,2021-10-11,db,6.43,11.52,18,False,6-30,0.04149064211176334,-8.46621500428143,18.070519232548964,19.909635020718987,120.31033431184585,4.780372326960864,1.6363747468398637,-4.727288911244831,-0.615662518581539,6.553860759736008,26.11012317563983,-1.5692060137925123,-3.9244459933059472,18.801938237626416,12.534294079778462,74.69678782646871
BYND,2020-09-29,2020-09-28,db,3.08,11.52,71,False,>60,1.6801074924241766,15.478551456252344,6.789956855793244,128.82637139572566,-0.2373734680592654,6.838026588288831,3.6222809784829835,-5.240465999118471,15.394203250821082,49.855355829099054,49.10816682884595,-1.8742817352786267,21.864836793285704,-7.45639395449148,52.69816025573903,-33.09378778262801
GUSH,2022-02-28,2022-02-25,db,3.57,11.37,14,False,6-30,5.115802273303882,8.295749554434217,6.731485994105224,78.02316015048187,57.537217220545564,7.727292534797611,1.2474227893170209,0.19128191516437631,-13.177927036608994,-7.52521139751996,11.062192747377031,3.8207189649029027,8.088994854993658,22.931280434998524,92.50994010459144,41.84594534242721
AMAT,2021-03-26,2021-03-25,db,7.6,11.2,1,False,<=5,4.760239835231106,5.082045995011919,40.56863236551458,106.59982470700325,170.92210428533065,4.533965559034142,-0.10153364187061031,-0.35381032550186875,0.6987826595918012,14.99786496831641,71.60243735049625,4.86671482990797,5.455157230066132,39.5931794336593,79.6553568746033,57.87777170785458
BILI,2021-02-02,2021-02-01,db,2.45,10.46,5,False,<=5,-9.406423237451955,41.903870342304536,172.3080465094195,179.11884873526773,464.45477353177074,7.0563254379969,-1.7341456954456769,2.7666316290559934,19.90662539765269,21.5261725840173,48.0146627198907,-7.807673984319797,38.083605634285455,127.10008359116931,129.67797207823563,281.3505791652339
BNTX,2021-05-25,2021-05-24,db,3.57,10.29,14,False,6-30,-1.7196209422365993,12.653177915301296,70.70158496849524,91.31245568766111,281.9126017120752,8.62290282193591,2.49683442591897,-2.035823405652726,2.7149312906069367,13.265683541258987,45.48179710477105,-4.113742040690116,14.994257933467491,66.18965015469523,68.90592958631838,162.51573001743625
