deck,card,symbol,market,date,end,adr,tag,base_len,cluster_k,touch_zones,overshoot_adr
F,88,CASY,US,2019-10-22,705,0.016338280371648493,detection,45.0,3.0,4.0,0.8835281610080126
F,89,MKSI,US,2017-11-06,213,0.02846489309561464,detection,5.0,3.0,1.0,0.0
F,90,CELH,US,2022-06-01,1362,0.1160579330673371,line_not_drawable,3.0,4.0,0.0,0.0
F,91,OSCR,US,2021-09-09,132,0.0844005823286601,not_caught_up,5.0,3.0,1.0,0.3575582882924984
F,92,EXPE,US,2017-07-05,126,0.0226847248056953,line_not_drawable,7.0,5.0,1.0,1.4141800031991814
F,93,SPT,US,2021-07-26,405,0.04860353734720972,not_caught_up,14.0,3.0,1.0,0.40276678100409785
F,94,PLUG,US,2021-02-12,1035,0.08368506990388679,detection,14.0,3.0,1.0,0.4534235614320109
F,95,RNG,US,2019-07-16,636,0.02720777348411114,detection,26.0,4.0,1.0,0.6794595376857353
F,96,SEDG,US,2017-11-22,225,0.03802285524857716,not_caught_up,9.0,3.0,1.0,0.0
F,97,LPSN,US,2019-11-20,726,0.0396779514999123,detection,13.0,4.0,1.0,0.39260655946036627
F,98,RIVN,US,2022-07-14,168,0.0776612731180461,repeat,,,,
F,99,ALV,US,2018-02-26,288,0.025004180099959628,not_caught_up,18.0,4.0,1.0,0.797318027047429
F,100,PLUG,US,2020-11-19,978,0.08952592111402626,not_caught_up,4.0,3.0,1.0,0.0
F,101,FCNCA,US,2021-04-07,1071,0.03566770685758967,detection,14.0,5.0,1.0,0.6351454289330676
F,102,FANG,US,2018-03-01,291,0.037796615722968344,detection,26.0,5.0,1.0,0.68172547555889
F,103,DKS,US,2022-12-21,1503,0.0374610594604828,repeat,,,,
F,104,RIOT,US,2023-03-16,1560,0.0957267073922781,not_caught_up,30.0,3.0,2.0,0.7556977358872111
